FMID,city,State,zip,x,y,Credit,WIC,WICcash,SFMNP,SNAP
1000284,Amherst Center,Massachusetts,1002,-72.519422,42.374858,Y,Y,Y,Y,Y
1009833,Amherst,Massachusetts,1002,-72.511105,42.384866,Y,N,N,N,Y
1006748,Amherst,Massachusetts,1004,-72.519778,42.379974,Y,Y,Y,Y,Y
1002354,Barre,Massachusetts,1005,-72.105138,42.421809,N,Y,Y,Y,N
1012635,Belchertown,Massachusetts,1007,-72.40138,42.277868,Y,N,N,Y,Y
1005483,Brimfield,Massachusetts,1010,-72.199901,42.122751,Y,Y,Y,Y,Y
1004079,CHICOPEE,Massachusetts,1013,-72.60012817,42.19358063,N,Y,Y,Y,Y
1005475,Easthampton,Massachusetts,1027,-72.669625,42.265448,N,Y,Y,Y,N
1007608,Florence,Massachusetts,1027,-72.6732,42.3359,N,N,N,N,N
1016913,Granville,Massachusetts,1034,-72.8587589,42.0525267,Y,Y,N,Y,N
1011742,Hampden,Massachusetts,1036,-72.4480607,42.0648118,Y,Y,N,Y,N
1004984,Hardwick,Massachusetts,1037,-72.2066,42.3834,N,N,N,N,N
1008416,Holyoke,Massachusetts,1040,-72.608042,42.20662,Y,Y,Y,Y,Y
1006902,Holyoke,Massachusetts,1040,-72.6404,42.1781,N,N,N,N,N
1006970,Holyoke,Massachusetts,1040,-72.6451,42.1696,N,N,N,N,N
1007770,Leverett,Massachusetts,1054,-72.5344,42.4115,N,N,N,N,N
1004396,Monson,Massachusetts,1057,-72.320326,42.103532,Y,Y,N,Y,N
1007617,Northampton,Massachusetts,1060,-72.6322,42.3204,N,N,N,N,N
1007618,Northampton,Massachusetts,1060,-72.6306,42.3181,N,N,N,N,N
1012164,Northampton,Massachusetts,1060,-72.630195,42.318193,Y,N,N,N,Y
1010744,Northampton,Massachusetts,1060,-72.655746,42.331782,Y,N,N,N,Y
1009897,"South Hadley, MA",Massachusetts,1075,-72.575386,42.259051,Y,Y,N,Y,Y
1010283,Palmer/ Three Rivers,Massachusetts,1080,-72.63159,42.135074,Y,Y,Y,Y,Y
1004285,Ware,Massachusetts,1082,-72.25011,42.25655,N,Y,N,Y,N
1018841,Westfield ,Massachusetts,1085,-72.7516316,42.1196339,Y,Y,Y,Y,Y
1011743,Wilbraham ,Massachusetts,1095,-72.4613702,42.1515647,Y,N,N,N,N
1000026,Springfield,Massachusetts,1101,-72.606701,42.107564,N,N,N,N,N
1012100,Springfield,Massachusetts,1102,-72.581067,42.108668,Y,Y,Y,Y,Y
1001646,Springfield,Massachusetts,1108,-72.55887,42.0797,Y,Y,Y,Y,Y
1012758,Springfield,Massachusetts,1109,-72.569068,42.110615,Y,N,N,N,Y
1001622,Pittsfield,Massachusetts,1201,-73.253489,42.448217,N,Y,N,Y,N
1008258,Pittsfield ,Massachusetts,1201,-73.2503563,42.4511915,Y,Y,N,Y,Y
1010354,Adams,Massachusetts,1220,-73.118003,42.6244919,N,Y,N,Y,N
1005773,Great Barrington,Massachusetts,1230,-73.3288593,42.2441394,Y,N,N,N,Y
1009857,Great Barrington ,Massachusetts,1230,-73.364776,42.190138,Y,N,N,N,Y
1007001,Great Barrington,Massachusetts,1230,-73.3444,42.2135,N,N,N,N,N
1002029,Great Barrington,Massachusetts,1230,-73.3694,42.1898,N,N,N,N,N
1011331,Hancock,Massachusetts,1237,-73.302742,42.570163,Y,N,N,N,N
1006954,Lee,Massachusetts,1238,-73.2497,42.3058,N,N,N,N,N
1010296,Lee ,Massachusetts,1238,-73.2541579,42.2794247,Y,N,N,N,N
1018704,Lenox ,Massachusetts,1240,-73.283228,42.360947,Y,N,Y,Y,Y
1012420,Monterey ,Massachusetts,1245,-73.202859,42.132731,Y,N,N,N,N
1017956,North Adams ,Massachusetts,1247,-73.112792,42.700694,Y,N,Y,Y,Y
1016912,Otis,Massachusetts,1253,-73.031942,42.171588,Y,Y,N,Y,N
1018271,Sheffield,Massachusetts,1257,-73.353839,42.110499,Y,Y,Y,Y,Y
1007332,West Stockbridge,Massachusetts,1266,-73.368445,42.333524,Y,Y,N,Y,Y
1011835,Williamstown,Massachusetts,1267,-73.2035441,42.7088388,Y,N,N,N,Y
1008305,Williamstown,Massachusetts,1267,-73.204879,42.709661,Y,N,N,N,N
1010024,Greenfield,Massachusetts,1301,-72.6008978,42.5875055,Y,Y,Y,Y,Y
1018114,Greenfield,Massachusetts,1301,-72.6039289,42.5883382,Y,N,N,N,Y
1000887,Ashfield,Massachusetts,1330,-72.790325,42.525744,N,Y,N,N,N
1000750,Athol,Massachusetts,1331,-72.2158367,42.5892837,Y,Y,N,Y,Y
1007619,Phillipston,Massachusetts,1331,-72.1421,42.5728,N,N,N,N,N
1001424,Bernardston,Massachusetts,1337,-72.5489526,42.6710011,Y,Y,Y,Y,Y
1002022,Conway,Massachusetts,1341,-72.6981,42.5091,N,N,N,N,N
1004428,Northfield,Massachusetts,1360,-72.450929,42.70338,N,Y,Y,Y,N
1002101,Orange,Massachusetts,1364,-72.3033449,42.590734,Y,Y,Y,Y,Y
1012060,Petersham,Massachusetts,1366,-72.186669,42.488744,Y,N,N,N,N
1004885,Shelburne Falls,Massachusetts,1370,-72.7372,42.608,N,Y,Y,Y,N
1009808,Turners Falls,Massachusetts,1376,-72.556098,42.609053,Y,Y,N,Y,Y
1006261,Fitchburg,Massachusetts,1420,-71.7993,42.5823,N,Y,N,Y,N
1006262,Fitchburg,Massachusetts,1420,-71.8059,42.598,N,N,N,N,N
1007576,Fitchburg,Massachusetts,1420,-71.8064,42.5874,N,N,N,N,N
1016829,Ashburnham,Massachusetts,1430,-71.940856,42.60827,Y,N,N,N,N
1007600,Ashby,Massachusetts,1431,-71.8208,42.6778,N,N,N,N,N
1007435,Ayer,Massachusetts,1432,-71.5894,42.56,N,N,N,N,N
1006886,Boston,Massachusetts,1450,-71.0823,42.348,N,N,N,N,N
1006887,cambridge,Massachusetts,1450,-71.0873,42.3628,N,N,N,N,N
