FMID,street,city,County,State,zip,x,y
1000001,City Hall park,Shelby,Toole,Montana,59474,-111.856,48.5041
1000003,Corner of Lewis Street and Pine Street,Edmore,Montcalm,Michigan,48829,-85.037581,43.4060489
1000007,110 South Hope Avenue,Santa Barbara,Santa Barbara,California,93101,-119.747,34.4378
1000008, Main St. and Uncompahgre Ave.,Montrose,Montrose,Colorado,81401,-107.8756668,38.4802387
1000009,2900 South Shore Drive,Bay View,Milwaukee,Wisconsin,53207,-87.882514,42.994023
1000010,0,Pawleys Island,Georgetown,South Carolina,29585,-79.12257,33.452713
1000011,310 Greenwich Drive,Georgetown,Georgetown,South Carolina,29440,-79.276485,33.359961
1000013, State & Gayley Streets,Media,Delaware,Pennsylvania,19063,-75.3867127,39.9175314
1000014,"Tubac Plaza, Exit 34 - I-19",Tubac,Pima,Arizona,85646,-111.055,31.6228
1000015,101 S. Union Ave,Pueblo,Pueblo,Colorado,81003,-104.613,38.2651
1000016,305 Texas Boulevard,Texarkana,Bowie,Texas,75501,-94.045817,33.421527
1000021,700 North Lamar Blvd.,Oxford,Lafayette,Mississippi,38655,-89.516816,34.373647
1000022,1521 Elizabeth Ave,Charlotte,Mecklenburg,North Carolina,28204,-80.8269849,35.214409
1000023,15915 Davidson Concord Rd,Huntersville,Mecklenburg,North Carolina,28078,-80.7855537,35.423328
1000024,Grand & Eucalyptus,Los Angeles,Los Angeles,California,90045,-118.405,33.9208
1000026,158 Avocado Street,Springfield,Hampden,Massachusetts,1101,-72.606701,42.107564
1000029,US Highway 2 and Getchell Avenue,Bagley,Clearwater,Minnesota,56621,-95.397,47.5218
1000030,413 N Milwaukee Ave,Libertyville,Lake,Illinois,60048,-87.954917,42.287215
1000031,"Oklahoma Ave. and Benning Rd., NE",Washington,District of Columbia,District of Columbia,20020,-76.9695,38.8977
1000032,Stanton and Alabama Avenue SE,Washington,District of Columbia,District of Columbia,20020,-76.9752,38.8507
1000036,Lake Carolina Town Center,Columbia,Richland,South Carolina,29229,-80.8965,34.1774
1000037, 1415West Main St.,Whitewater,Walworth,Wisconsin,53190,-88.759686,42.834469
1000038,1050 Camino Del Mar,Del Mar,Tulare,California,92014,-117.264,32.9548
1000039,South Lawn of the Main Library,Tucson,Pima,Arizona,85719,-110.972,32.2235
1000041,Corner of Frederick St. and Granard St.,Gaffney,Cherokee,South Carolina,29342,-81.648,35.0763
1000042,Veterans Memorial Community Center parking lot,Inver Grove Heights,Dakota,Minnesota,55077,-93.064,44.8322
1000043,COLDWELL &BANKERS PARKING LOT ,NISKAYUNA,Schenectady,New York,12309,-73.8771901,42.8056144
1000044,15684 Body Rd.,Danville,Knox,Ohio,43014,-82.2445,40.4553
1000048,227 East Pine Street,Fitzgerald,Ben Hill,Georgia,31750,-83.2518458,31.7136472
1000050,500 Mulberry St,Macon,Bibb,Georgia,31201,-83.628616,32.838311
1000051,Corner of Bancroft Street and Magnolia Avenue,Fairhope,Baldwin,Alabama,36532,-87.9019749,30.5244349
1000052,1500 Ivar Ave. & Selma Ave,Los Angeles,Los Angeles,California,90028,-118.3283,34.09986
1000055,"Old Center School parking lot, Maple Street",New Canaan,Fairfield,Connecticut,6840,-73.492033,41.144455
1000057,3rd Ave & 95 St.,New York,Kings,New York,11209,-74.032102,40.61695
1000058,Washington Pk & Dekalb,New York,Kings,New York,11205,-73.9746,40.6921
1000060,W 57 St. & 9 Ave,New York,New York,New York,10019,-73.985839,40.768159
1000061,Columbus - W 78 & 81 Sts.,New York,New York,New York,10024,-73.9757,40.7818
1000062,E 82nd St. - 1st & York Ave,New York,New York,New York,10028,-73.95009,40.773749
1000063,1st Ave - E 92nd & 93 Sts.,New York,New York,New York,10128,-73.946421,40.780931
1000064,W 97 St. & Columbus,New York,New York,New York,10025,-73.967012,40.79356
1000065,W12 St. & 8th Ave,New York,New York,New York,10014,-74.00528,40.737177
1000066,Broadway & Battery Place,New York,New York,New York,10004,-74.014313,40.704587
1000067,Broadway & Chambers,New York,New York,New York,10007,-74.00631,40.713858
1000068,Broadway - W114 & 115 Sts.,New York,New York,New York,10027,-73.96436,40.807345
1000069,E 47 St & 2 Ave,New York,New York,New York,10017,-73.9698797,40.7529921
1000070,W Broadway - Barclay St & Park Pl,New York,New York,New York,10271,-74.0081736,40.7119522
1000071,168th St. & Ft. Washington,New York,New York,New York,10032,-73.9422685,40.8421727
1000072,Isham St - Seaman & Cooper,New York,New York,New York,10034,-73.919942,40.868272
1000073,E99 St. - Madison & Park Aves,New York,New York,New York,10029,-73.952043,40.788941
1000075,Rockefeller Plaza - 50 St.,New York,New York,New York,10185,-73.98056,40.759513
1000076,E 10 St. & 2 Av,New York,New York,New York,10003,-73.9868166,40.7297528
1000077,14th St loop & Ave A (in the Oval),New York,New York,New York,10009,-73.977814,40.731763
1000078,E 7 St. & Ave A,New York,New York,New York,10009,-73.983535,40.726056
1000079,Greenwich & Chambers,New York,New York,New York,10007,-74.010994,40.7163009
1000080,W 66 St. & Columbus,New York,New York,New York,10023,-73.981573,40.773602
1000081,E 17 St. & Broadway,New York,New York,New York,10003,-73.990409,40.737096
1000082,4 South Street (inside terminal),New York,New York,New York,10004,-74.013648,40.701952
1000083,Kazimiroff Blvd-Bedford Pk & Mosholu Blvd inside NYBG Mosholu Gate,Bronx,Bronx,New York,10458,-73.880696,40.86686
1000084,Havemeyer & Broadway,Brooklyn,Kings,New York,11211,-73.959382,40.70867
1000085,34 Ave - 77 & 78 Sts,Queens,Queens,New York,11372,-73.889215,40.753353
1000086,14 St - 31 Ave & 31 Rd,Queens,Queens,New York,11106,-73.932452,40.767672
1000087,Skillman - 42 & 43 Sts,Queens,Queens,New York,11104,-73.92123,40.746899
1000088,Roosevelt Ave & 103rd St,Queens,Queens,New York,11368,-73.8626778,40.7499046
1000089,41st Ave - 80 & 81 Sts,Queens,Queens,New York,11373,-73.8845641,40.745901
1000090,Vernon Blvd & Broadway,Queens,Queens,New York,11106,-73.9359467,40.7675924
1000093,St Marks & Hyatt St,Staten Island,Richmond,New York,10301,-74.0779055,40.6415918
1000094,Richmond Ave Entrance (Parking Lot),Staten Island,Richmond,New York,10314,-74.162908,40.603429
1000095,Grand Concourse & 161 St,Bronx,Bronx,New York,10452,-73.922603,40.826979
